,CountryName,GiniCoff,IncomePerPeerson,InvestmentShareOfGDP,TaxShareOfGDP,"Estimates, 1950 - 2020: Annually interpolated demographic indicators - Total fertility (live births per woman)",Deaths - Self-harm - Sex: Both - Age: All Ages (Percent),Life satisfaction in Cantril Ladder (World Happiness Report 2019),"Agriculture, value added per worker (constant 2010 US$)",Life expectancy,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Real GDP per capita in 2011US$, multiple benchmarks (Maddison Project Database (2018))",Population density (people per sq. km of land area)
18,Zambia,55.9,3420.0,33.6,17.1,5.3279999999999985,0.7076036117541827,4.99911356,650.952986330281,57.126000000000005,9.98999977111816,3205.0,19.188791885820397
19,Zimbabwe,43.2,2170.0,20.3,20.9,4.059,1.6383073453175605,4.845641613,270.290577970421,52.896,5.369999885559079,1515.0,37.189218043169205
20,Argentina,42.3,19800.0,18.4,12.7,2.338,1.5200943626615315,6.775805472999999,265201.994312205,75.439,7.17999982833862,20003.0,15.2216286828249
21,Brazil,53.1,15100.0,21.8,14.2,1.781,1.0655611248136416,7.037816525,6739.82977556561,73.921,6.69000005722046,14831.0,23.7716391445944
22,Canada,33.8,41600.0,24.2,11.8,1.624,1.7724804874925382,7.426053523999999,56494.451202153396,81.51,7.5100002288818395,42197.0,3.77662530749952
23,Chile,47.9,20300.0,24.6,18.9,1.87,2.1154892678878356,6.5263347629999995,11147.0473065104,78.986,7.34000015258789,19705.0,23.070099202186302
24,Colombia,53.7,11700.0,23.9,14.6,1.9580000000000002,1.3133811131094681,6.463952541,4931.387844723479,75.655,10.1899995803833,11788.0,41.826630013519605
25,Costa Rica,49.1,13300.0,19.9,13.4,1.869,1.8093616434598208,7.228888512,11671.206792231102,78.919,10.1800003051758,12366.0,90.09937328632981
26,Dominican Republic,47.1,11600.0,25.0,12.3,2.481,1.2326943613242225,5.396535397,5697.45729438187,72.28399999999999,5.82000017166138,11679.0,207.55733802525398
27,El Salvador,43.4,6490.0,17.8,15.3,2.224,1.4306222244471931,4.741294861,2269.05006925805,71.449,4.30000019073486,7607.0,298.868725868726
28,Guatemala,50.7,6850.0,15.2,10.8,3.292,1.10273498080905,5.743353844,2355.5011297267397,71.861,4.13000011444092,6650.0,139.500923852184
29,Honduras,53.9,3980.0,26.0,14.8,2.86,0.7755272603162632,4.961031437,1661.03206753315,73.569,4.46999979019165,4421.0,74.6411654303334
30,Jamaica,45.5,8110.0,21.4,23.4,2.136,0.5054767367545154,5.374446392,3600.79476235526,74.012,12.6999998092651,7141.0,261.264358264081
31,Mexico,46.8,16500.0,23.3,10.0,2.3169999999999997,1.2026393995568059,6.909515381,4989.7182576962105,75.01100000000001,5.19000005722046,15210.0,61.26187247614389
32,Nicaragua,44.8,4160.0,31.0,14.5,2.575,1.8562848744128624,5.3857054710000005,1993.69467882857,72.692,6.51999998092651,4189.0,48.2617583513379
33,Paraguay,49.6,10000.0,17.1,12.6,2.675,1.1871631000881022,5.677080631,5890.86085271288,72.86,4.67000007629395,7377.0,15.8413868613139
34,Peru,45.3,10600.0,24.2,16.0,2.4930000000000003,0.7844238954382475,5.892457485,2402.1654783614003,74.697,3.4400000572204603,10044.0,23.24999140625
35,United States,40.7,49900.0,18.5,9.59,1.9369999999999998,1.7160294555366555,7.115138531,68423.1278844576,78.777,8.94999980926514,49675.0,34.0690905195126
36,Uruguay,42.6,18000.0,20.9,19.1,2.008,1.9991871125418303,6.554047108,20656.967565246498,76.882,6.30999994277954,17211.0,19.3442120900469
37,Afghanistan,36.8,1630.0,16.6,8.85,5.77,0.6460586451796041,3.83171916,820.4024916433051,61.553000000000004,8.22999954223633,1792.0,45.505313543485606
38,Armenia,29.5,7020.0,27.3,17.2,1.724,1.1219990844189855,4.2604913710000005,4025.2235673647206,73.572,18.4400005340576,8465.0,101.00389884088499
39,Azerbaijan,32.4,15800.0,20.3,12.2,2.004,0.6496436780187851,4.680469513,1892.45369699025,71.234,5.42000007629395,16176.0,110.976336228798
40,Bahrain,40.0,40200.0,22.4,1.11,2.1390000000000002,2.9293069976681307,4.82397604,9659.530689531759,76.2,1.23000001907349,36372.0,1666.58279009126
41,Bangladesh,32.2,2650.0,27.4,8.69,2.273,1.16744791623086,4.985649109,733.612713124515,70.256,3.6500000953674303,2772.0,1182.39161097027
42,Cambodia,42.0,2660.0,17.1,10.2,2.804,0.6229515031524316,4.161225319,1079.65998613954,67.043,0.200000002980232,2496.0,82.3582936777702
43,China,41.9,10400.0,47.7,10.3,1.632,1.4261853399424431,5.037207603,3301.34789075455,74.708,4.34000015258789,10221.0,143.172112343875
44,India,35.0,4630.0,39.6,10.2,2.506,2.286725388441136,4.634871483,1366.53305743959,67.13,3.52900004386902,4768.0,419.49422303989996
45,Indonesia,38.2,8860.0,33.0,11.2,2.471,0.5155831057697937,5.172608376,2611.51686999073,69.542,5.15000009536743,8849.0,135.632358120304
46,Israel,41.9,30600.0,20.4,22.7,3.009,1.315319002136483,7.433147907,84355.1580981656,81.653,7.139999866485599,29370.0,358.863216266174
47,Japan,32.1,35800.0,22.1,9.36,1.391,2.5410675191347725,6.262793541000001,25489.9196283235,83.118,4.550000190734861,34979.0,350.65490803856795
48,Jordan,33.3,9120.0,25.5,15.0,3.5410000000000004,1.0697616917872466,5.539327621,13138.244577664,73.581,12.8999996185303,11615.0,85.3226289704889
49,Kuwait,40.0,78000.0,13.5,0.8,2.182,1.66751808308634,6.377699375,11264.835906285,74.55,3.5999999046325697,77126.0,179.071324354658
50,Kazakhstan,27.9,21300.0,23.0,18.3,2.668,3.3950195440081226,5.735662937000001,3832.51231900711,68.047,5.389999866485599,21302.0,6.13297810867874
51,Lebanon,31.8,13800.0,26.8,16.3,2.002,1.148343904957617,5.187571526,41135.9791081276,78.507,6.55999994277954,16230.0,448.52082111436897
52,Malaysia,43.6,21800.0,23.2,14.8,2.129,1.3615984137023656,5.786367416,16283.0977901202,74.683,3.08999991416931,19390.0,87.1560736569776
53,Mongolia,33.6,8850.0,58.2,18.5,2.722,2.6690893420593715,5.031173706000001,2213.50033136893,67.818,4.769999980926509,9484.0,1.77754061639074
54,Nepal,33.8,2050.0,38.0,13.3,2.444,1.2648973617941477,3.809444666,521.058194495547,68.028,2.53299999237061,2189.0,190.63234740146498
55,Oman,40.0,41900.0,23.8,2.27,2.8819999999999997,1.1423715336434608,6.852982044,9619.50483220134,75.916,3.97399997711182,44454.0,10.4596704361874
56,Palestine,34.5,4410.0,17.8,5.25,4.36,0.9481288671324868,4.751219749,6097.761849778829,72.915,20.9400005340576,4863.0,652.334053156146
57,Pakistan,30.6,4100.0,14.1,9.19,3.88,0.5948257297615993,5.267186165,1697.32653879146,65.562,0.8000000119209291,4464.0,225.95509677252002
58,Philippines,44.1,5690.0,20.5,12.4,3.1210000000000004,0.783954878444745,4.9939565660000005,1986.3060016672898,69.984,3.58999991416931,5851.0,319.54234161719796
59,Singapore,42.2,76000.0,27.1,13.3,1.235,2.907644932788102,6.561041832000001,3052.45369466767,82.04799999999999,2.9600000381469704,61672.0,7363.19318181818
60,Sri Lanka,37.8,9160.0,33.4,11.3,2.237,3.803471032514535,4.180569172,1927.6324832672897,75.61399999999999,4.1100001335144,8918.0,323.951793972253
61,South Korea,31.8,31200.0,33.0,14.4,1.216,6.502340050378157,6.9465990070000005,15226.7800739828,80.79,3.41000008583069,32225.0,513.592903424869
62,Thailand,38.7,13500.0,26.8,16.4,1.5390000000000001,2.0752863037461338,6.663609028,2338.6436118531897,74.593,0.6600000262260439,13318.0,132.181350192801
63,United Arab Emirates,40.0,56600.0,23.2,0.321,1.7630000000000001,2.9902380656418948,7.118701457999999,72067.6703790944,76.521,3.3050000667572004,65307.0,103.73773923445
64,Uzbekistan,33.5,4470.0,22.8,16.2,2.449,1.4439200271668626,5.738744259,2324.07259525339,69.91,8.1569995880127,7396.0,68.968970380818
65,Vietnam,37.0,4660.0,29.8,22.2,1.949,1.263985961214957,5.767344475,882.517182101952,74.904,2.01999998092651,4786.0,288.440171574161
66,Albania,29.3,10200.0,31.4,18.0,1.673,0.8823724134153041,5.867421627000001,4518.234327588079,76.914,13.979999542236301,9484.0,106.02901459854
67,Austria,30.8,44500.0,24.1,25.4,1.431,1.8797261595641082,7.470512867,27966.8490788654,80.77600000000001,4.55999994277954,41446.0,101.641731568174
68,Belarus,27.3,17200.0,37.2,14.5,1.594,2.5585881130065404,5.2253079410000005,10780.5984945084,71.443,0.680000007152557,17918.0,46.686570400670206
69,Belgium,28.0,41300.0,24.0,24.7,1.806,2.174815235733864,7.111363888,63174.086693761,80.26100000000001,7.139999866485599,38130.0,364.85284015852005
70,Bosnia and Herzegovina,33.0,9980.0,18.7,20.3,1.315,0.811233706558481,4.994670868,5609.93166269495,76.219,27.600000381469698,8961.0,72.04814453125
71,Bulgaria,35.3,15700.0,21.5,17.7,1.534,0.9282145822909464,3.875382423,10527.9788673279,73.932,11.2600002288818,15112.0,67.6890935887988
72,Croatia,31.9,20800.0,20.6,18.4,1.5090000000000001,1.519824031080388,5.385372639,10134.1579066459,77.059,13.6800003051758,19813.0,76.4943173695497
73,Cyprus,33.5,33200.0,18.8,23.3,1.406,0.9486464206424852,6.689608574,26904.2978249975,79.62100000000001,7.869999885559079,27272.0,121.73538961039
74,Denmark,27.5,44400.0,19.1,32.8,1.775,1.3369370514276444,7.78823185,53162.9001351136,79.704,7.57000017166138,43575.0,131.288522271977
75,Estonia,32.8,24500.0,25.1,1.23,1.633,1.6874571314425884,5.486819744,23194.841739670297,75.893,12.3299999237061,21997.0,31.314909176692602
76,Finland,27.4,40700.0,23.5,20.1,1.8090000000000002,1.9528354483153976,7.354225158999999,58794.3595473316,80.365,7.78000020980835,38432.0,17.7309947678436
77,France,33.1,37400.0,23.2,21.8,1.992,2.2794124759474834,6.959185122999999,55603.8838262611,81.692,8.8100004196167,36691.0,119.33511031728202
78,Germany,30.7,42700.0,21.1,11.4,1.4,1.3421674676078659,6.621312141000001,30702.9234565193,80.26100000000001,5.82000017166138,43189.0,230.30463334863398
79,Greece,35.0,26100.0,15.1,22.1,1.3780000000000001,0.4721322570469423,5.372039795,16382.0631675464,80.75399999999999,17.8600006103516,24349.0,86.15127230411171
80,Hungary,29.6,22800.0,20.5,21.1,1.3259999999999998,1.8566069393774192,4.917602539,24046.0931757233,74.795,11.029999732971199,20886.0,110.14831547553301
81,Ireland,32.9,44900.0,17.2,21.8,1.9880000000000002,1.946790778307904,7.006904125,28599.9738310804,80.382,14.619999885559098,48980.0,66.4840179997097
82,Italy,34.7,36300.0,20.5,22.3,1.439,0.7822025674992596,6.057086468,46526.27160470941,82.12799999999999,8.35999965667725,35151.0,201.874784116407
83,Latvia,35.4,19800.0,25.2,20.0,1.5019999999999998,1.6929845573818607,4.966811657,11910.3683086469,73.32300000000001,16.2099990844727,18428.0,33.1142926045016
84,Lithuania,34.7,22900.0,21.7,4.49,1.544,2.907143528889977,5.43243742,11045.4042839546,73.256,15.390000343322802,20243.0,48.3153301209433
85,Luxembourg,32.0,92000.0,19.4,24.6,1.5719999999999998,1.6233889730092044,7.101400375,38337.6681231504,80.664,4.90000009536743,54031.0,200.13397683397702
86,Moldova,30.7,5010.0,24.2,18.3,1.276,1.667850250517166,5.792262554,2271.0838076723103,70.119,6.67999982833862,4892.0,124.097535469028
87,North Macedonia,39.7,11600.0,26.9,17.0,1.4769999999999999,1.0089353136635992,4.898180008,7969.483510030691,74.846,31.3799991607666,11321.0,82.1722045995242
88,Netherlands,27.8,46600.0,20.5,20.4,1.74,1.4058446946918963,7.563797951000001,60385.958536971906,81.015,4.980000019073491,44591.0,495.04964412811404
89,Poland,33.0,22900.0,22.4,16.7,1.351,2.0553682209806663,5.646204947999999,5945.109344199711,76.64699999999999,9.63000011444092,21837.0,124.29629690102199
90,Portugal,35.9,26800.0,18.6,21.2,1.305,1.3732889625965203,5.2199978830000004,9552.56727647118,80.26,12.6800003051758,25133.0,115.269789278305
91,Romania,31.9,17900.0,28.0,18.0,1.521,1.0355658659194191,5.02275753,4271.44187468488,74.42,7.17999982833862,17174.0,87.5332493374462
92,Russia,40.1,24300.0,24.4,13.9,1.6269999999999998,2.648036171820934,5.388766288999999,10534.5710654336,69.343,6.53999996185303,23130.0,8.729437798553692
93,Serbia,33.1,13700.0,20.1,20.2,1.492,1.4468629778195592,4.815186501,6813.34767040296,74.36399999999999,22.969999313354503,12463.0,82.7132289046421
94,Slovenia,25.3,28800.0,21.7,17.9,1.545,2.436116971173171,6.035964012000001,10967.6440768017,79.725,8.17000007629395,26004.0,101.928649453823
95,Spain,35.5,32100.0,21.9,12.4,1.3780000000000001,0.9780656065567406,6.518249035,45893.87854021099,82.149,21.3899993896484,31600.0,93.5078358806114
96,Sweden,27.8,43800.0,23.8,26.5,1.916,1.5516698016566617,7.382232189,76007.6678547753,81.679,7.76999998092651,42079.0,23.027764780426
97,Turkey,39.6,19700.0,31.3,18.7,2.137,0.6702410605199494,5.271944046000001,12448.741427008501,74.944,8.80000019073486,17919.0,95.38278783311459
98,Ukraine,24.8,8280.0,22.4,18.5,1.474,1.6739376193164728,5.083132743999999,2984.68002179531,69.932,7.860000133514401,10333.0,78.896119588483
99,United Kingdom,33.5,36800.0,15.6,26.1,1.8840000000000001,0.9644454597102332,6.8692488670000005,49389.1366345043,80.564,8.03999996185303,34971.0,261.47612119208
100,Australia,32.9,42000.0,26.4,20.4,1.922,1.8198779355122143,7.405616283,82077.69049072861,82.119,5.07999992370605,46132.0,2.9079864103198303
101,New Zealand,33.2,32700.0,20.4,25.6,2.09,1.7764103384545191,7.190638065,92901.2311734907,81.05199999999999,5.96999979019165,32057.0,16.6495765447571
